Datum;Kategorie;Flugpassagiere;Luftfracht;Flugbewegungen
02.02.2019;Passagierverkehr;15430;2;147
02.02.2019;Fracht Cargo;0;96;4
02.02.2019;Andere Kategorien;6;0;61
02.02.2019;Fracht Express;0;37;4
03.02.2019;Passagierverkehr;22669;0;175
03.02.2019;Andere Kategorien;8;0;9
03.02.2019;Fracht Express;0;;
03.02.2019;Fracht Cargo;0;89;4
04.02.2019;Passagierverkehr;18091;0;169
04.02.2019;Fracht Cargo;0;35;2
04.02.2019;Fracht Express;0;118;13
04.02.2019;Andere Kategorien;8;0;44
05.02.2019;Passagierverkehr;9992;0;117
05.02.2019;Fracht Express;0;142;12
05.02.2019;Fracht Cargo;0;;
05.02.2019;Andere Kategorien;29;0;80
06.02.2019;Passagierverkehr;14523;2;166
06.02.2019;Fracht Express;0;188;19
06.02.2019;Andere Kategorien;8;0;88
06.02.2019;Fracht Cargo;0;33;2
07.02.2019;Fracht Express;0;190;21
07.02.2019;Fracht Cargo;0;;
07.02.2019;Passagierverkehr;18053;3;169
07.02.2019;Andere Kategorien;8;0;17
08.02.2019;Fracht Express;0;144;15
08.02.2019;Andere Kategorien;4;0;68
08.02.2019;Passagierverkehr;23354;2;203
08.02.2019;Fracht Cargo;0;52;2
09.02.2019;Passagierverkehr;18993;2;155
09.02.2019;Fracht Express;0;41;4
09.02.2019;Fracht Cargo;0;72;4
09.02.2019;Andere Kategorien;8;0;26
10.02.2019;Passagierverkehr;21466;0;166
10.02.2019;Fracht Express;0;;
10.02.2019;Fracht Cargo;0;22;4
10.02.2019;Andere Kategorien;4;0;7
11.02.2019;Fracht Cargo;0;57;2
11.02.2019;Passagierverkehr;21554;0;176
11.02.2019;Fracht Express;0;150;15
11.02.2019;Andere Kategorien;4;0;14
12.02.2019;Fracht Cargo;0;;
12.02.2019;Andere Kategorien;5;0;46
12.02.2019;Passagierverkehr;16572;0;167
12.02.2019;Fracht Express;0;184;18
13.02.2019;Fracht Express;0;206;18
13.02.2019;Fracht Cargo;0;32;2
13.02.2019;Andere Kategorien;7;0;77
13.02.2019;Passagierverkehr;16171;1;167
14.02.2019;Fracht Express;0;199;20
14.02.2019;Andere Kategorien;6;0;51
14.02.2019;Passagierverkehr;19434;2;183
14.02.2019;Fracht Cargo;0;;
15.02.2019;Passagierverkehr;24546;1;207
15.02.2019;Fracht Cargo;0;46;2
15.02.2019;Andere Kategorien;26;0;87
15.02.2019;Fracht Express;0;154;13
16.02.2019;Passagierverkehr;20286;2;175
16.02.2019;Fracht Express;0;38;4
16.02.2019;Fracht Cargo;0;70;4
16.02.2019;Andere Kategorien;2;0;94
17.02.2019;Fracht Cargo;0;80;4
17.02.2019;Andere Kategorien;13;0;70
17.02.2019;Passagierverkehr;24963;0;193
17.02.2019;Fracht Express;0;;
18.02.2019;Fracht Express;0;172;13
18.02.2019;Andere Kategorien;17;0;107
18.02.2019;Passagierverkehr;21814;3;189
18.02.2019;Fracht Cargo;0;45;2
19.02.2019;Fracht Express;0;198;20
19.02.2019;Fracht Cargo;0;;
19.02.2019;Passagierverkehr;17730;1;163
19.02.2019;Andere Kategorien;5;0;50
20.02.2019;Fracht Cargo;0;33;3
20.02.2019;Andere Kategorien;7;0;81
20.02.2019;Passagierverkehr;16843;0;158
20.02.2019;Fracht Express;0;199;20
21.02.2019;Fracht Cargo;0;0;1
21.02.2019;Fracht Express;0;201;20
21.02.2019;Andere Kategorien;7;0;62
21.02.2019;Passagierverkehr;20046;1;177
22.02.2019;Andere Kategorien;8;0;161
22.02.2019;Passagierverkehr;24790;1;196
22.02.2019;Fracht Cargo;0;55;2
22.02.2019;Fracht Express;0;159;14
23.02.2019;Fracht Express;0;37;4
23.02.2019;Passagierverkehr;20312;1;163
23.02.2019;Fracht Cargo;0;89;4
23.02.2019;Andere Kategorien;3;0;43
24.02.2019;Passagierverkehr;25428;0;207
24.02.2019;Fracht Express;0;;
24.02.2019;Fracht Cargo;0;109;4
24.02.2019;Andere Kategorien;13;0;114
25.02.2019;Passagierverkehr;21865;2;193
25.02.2019;Fracht Cargo;0;53;2
25.02.2019;Fracht Express;0;171;13
25.02.2019;Andere Kategorien;0;0;60
26.02.2019;Passagierverkehr;17348;3;167
26.02.2019;Fracht Express;0;187;20
26.02.2019;Fracht Cargo;0;;
26.02.2019;Andere Kategorien;13;0;51
27.02.2019;Andere Kategorien;5;0;67
27.02.2019;Passagierverkehr;16826;0;159
27.02.2019;Fracht Cargo;0;36;2
27.02.2019;Fracht Express;0;214;20
