Datum;Kategorie;Flugpassagiere;Luftfracht;Flugbewegungen
11.11.2019;Andere Kategorien;18;;88
12.11.2019;Fracht Express;0;197;20
12.11.2019;Fracht Cargo;0;;
12.11.2019;Andere Kategorien;7;;43
12.11.2019;Passagierverkehr;13979;1;141
13.11.2019;Fracht Cargo;0;67;4
13.11.2019;Fracht Express;0;203;20
13.11.2019;Passagierverkehr;14683;1;138
13.11.2019;Andere Kategorien;1;;43
14.11.2019;Passagierverkehr;16427;2;151
14.11.2019;Fracht Cargo;0;;
14.11.2019;Fracht Express;0;217;20
14.11.2019;Andere Kategorien;9;;49
15.11.2019;Andere Kategorien;8;;83
15.11.2019;Passagierverkehr;25203;0;202
15.11.2019;Fracht Express;0;171;15
15.11.2019;Fracht Cargo;0;70;2
16.11.2019;Passagierverkehr;16868;1;149
16.11.2019;Fracht Express;0;34;6
16.11.2019;Fracht Cargo;0;94;4
16.11.2019;Andere Kategorien;0;;74
17.11.2019;Fracht Cargo;0;30;2
17.11.2019;Fracht Express;0;;
17.11.2019;Passagierverkehr;24124;0;188
17.11.2019;Andere Kategorien;1;;5
18.11.2019;Andere Kategorien;6;;40
18.11.2019;Passagierverkehr;19385;1;180
18.11.2019;Fracht Express;0;167;14
18.11.2019;Fracht Cargo;0;47;2
19.11.2019;Passagierverkehr;13142;1;131
19.11.2019;Fracht Cargo;0;;
19.11.2019;Andere Kategorien;16;;74
19.11.2019;Fracht Express;0;221;21
20.11.2019;Passagierverkehr;13591;2;135
20.11.2019;Fracht Cargo;0;50;4
20.11.2019;Andere Kategorien;11;;6
20.11.2019;Fracht Express;0;218;20
21.11.2019;Passagierverkehr;15833;1;147
21.11.2019;Fracht Express;0;216;20
21.11.2019;Andere Kategorien;12;;21
21.11.2019;Fracht Cargo;0;;
22.11.2019;Passagierverkehr;24701;0;204
22.11.2019;Fracht Cargo;0;42;2
22.11.2019;Andere Kategorien;3;;83
22.11.2019;Fracht Express;0;166;14
23.11.2019;Passagierverkehr;16208;2;140
23.11.2019;Fracht Express;0;45;4
23.11.2019;Fracht Cargo;0;72;4
23.11.2019;Andere Kategorien;0;;10
24.11.2019;Passagierverkehr;24637;0;201
24.11.2019;Fracht Cargo;0;40;2
24.11.2019;Andere Kategorien;2;;71
24.11.2019;Fracht Express;0;;
25.11.2019;Andere Kategorien;12;;62
25.11.2019;Fracht Express;0;181;16
25.11.2019;Passagierverkehr;19016;1;178
25.11.2019;Fracht Cargo;0;42;2
26.11.2019;Fracht Cargo;0;;
26.11.2019;Passagierverkehr;13732;0;146
26.11.2019;Fracht Express;0;202;20
26.11.2019;Andere Kategorien;8;;80
27.11.2019;Fracht Express;0;221;20
27.11.2019;Fracht Cargo;0;77;4
27.11.2019;Passagierverkehr;13798;0;146
27.11.2019;Andere Kategorien;11;;38
28.11.2019;Fracht Express;0;218;20
28.11.2019;Fracht Cargo;0;;
28.11.2019;Passagierverkehr;16650;1;153
28.11.2019;Andere Kategorien;20;;15
29.11.2019;Fracht Cargo;0;42;2
29.11.2019;Andere Kategorien;19;;16
29.11.2019;Passagierverkehr;24514;0;199
29.11.2019;Fracht Express;0;169;13
30.11.2019;Passagierverkehr;16904;1;149
30.11.2019;Andere Kategorien;2;;63
30.11.2019;Fracht Cargo;0;101;4
30.11.2019;Fracht Express;0;33;4
01.12.2019;Fracht Express;0;;
01.12.2019;Passagierverkehr;24623;0;192
01.12.2019;Fracht Cargo;0;20;2
01.12.2019;Andere Kategorien;1;;15
02.12.2019;Passagierverkehr;20318;0;178
02.12.2019;Fracht Express;0;177;15
02.12.2019;Andere Kategorien;10;;31
02.12.2019;Fracht Cargo;0;37;2
03.12.2019;Passagierverkehr;14271;0;143
03.12.2019;Fracht Express;0;210;20
03.12.2019;Fracht Cargo;0;;
03.12.2019;Andere Kategorien;12;;63
04.12.2019;Fracht Express;0;225;18
04.12.2019;Fracht Cargo;0;133;4
04.12.2019;Passagierverkehr;14946;1;140
04.12.2019;Andere Kategorien;6;;71
05.12.2019;Fracht Cargo;0;;
05.12.2019;Andere Kategorien;11;;38
05.12.2019;Passagierverkehr;14680;0;146
05.12.2019;Fracht Express;0;215;18
06.12.2019;Fracht Express;0;177;14
06.12.2019;Fracht Cargo;0;38;2
06.12.2019;Andere Kategorien;28;;55
06.12.2019;Passagierverkehr;22537;0;182
07.12.2019;Fracht Express;0;52;5
07.12.2019;Passagierverkehr;18188;2;155
07.12.2019;Andere Kategorien;2;;28
07.12.2019;Fracht Cargo;0;118;4
08.12.2019;Passagierverkehr;23362;0;200
08.12.2019;Fracht Express;0;;
08.12.2019;Fracht Cargo;0;19;2
08.12.2019;Andere Kategorien;3;;33
09.12.2019;Passagierverkehr;20058;;188
09.12.2019;Andere Kategorien;7;;16
09.12.2019;Fracht Cargo;0;44;2
09.12.2019;Fracht Express;0;164;15
10.12.2019;Fracht Express;0;213;18
10.12.2019;Andere Kategorien;3;;94
10.12.2019;Passagierverkehr;14613;0;151
10.12.2019;Fracht Cargo;0;;
11.12.2019;Fracht Express;0;242;20
11.12.2019;Fracht Cargo;0;79;4
11.12.2019;Passagierverkehr;16574;0;150
11.12.2019;Andere Kategorien;2;;22
12.12.2019;Fracht Express;0;184;14
12.12.2019;Passagierverkehr;16865;0;161
12.12.2019;Fracht Cargo;0;;
12.12.2019;Andere Kategorien;15;;13
13.12.2019;Passagierverkehr;24561;3;196
13.12.2019;Fracht Express;0;186;17
13.12.2019;Fracht Cargo;0;47;2
13.12.2019;Andere Kategorien;2;;20
14.12.2019;Andere Kategorien;14;;14
14.12.2019;Passagierverkehr;18664;2;153
14.12.2019;Fracht Express;0;50;4
14.12.2019;Fracht Cargo;0;97;4
15.12.2019;Fracht Cargo;0;18;2
15.12.2019;Passagierverkehr;24371;;202
15.12.2019;Fracht Express;0;;
15.12.2019;Andere Kategorien;10;;14
16.12.2019;Passagierverkehr;19672;1;180
16.12.2019;Fracht Express;0;152;13
16.12.2019;Fracht Cargo;0;54;2
16.12.2019;Andere Kategorien;14;;69
17.12.2019;Fracht Cargo;0;;
17.12.2019;Passagierverkehr;14240;0;150
17.12.2019;Fracht Express;0;242;20
17.12.2019;Andere Kategorien;19;;19
18.12.2019;Passagierverkehr;18779;0;175
18.12.2019;Fracht Cargo;0;58;4
18.12.2019;Fracht Express;0;260;22
18.12.2019;Andere Kategorien;20;;44
19.12.2019;Passagierverkehr;22710;0;214
19.12.2019;Fracht Express;0;257;20
19.12.2019;Fracht Cargo;0;;
19.12.2019;Andere Kategorien;6;;47
20.12.2019;Fracht Express;0;187;18
20.12.2019;Andere Kategorien;1;;48
20.12.2019;Passagierverkehr;26627;0;219
20.12.2019;Fracht Cargo;0;70;2
21.12.2019;Fracht Express;0;58;5
21.12.2019;Passagierverkehr;22112;1;182
21.12.2019;Andere Kategorien;8;;55
21.12.2019;Fracht Cargo;0;77;4
22.12.2019;Fracht Express;0;;
22.12.2019;Fracht Cargo;0;;
22.12.2019;Passagierverkehr;25997;0;214
22.12.2019;Andere Kategorien;2;;10
23.12.2019;Andere Kategorien;0;;7
23.12.2019;Passagierverkehr;24505;1;193
23.12.2019;Fracht Express;0;104;13
23.12.2019;Fracht Cargo;0;39;2
24.12.2019;Fracht Express;0;71;14
24.12.2019;Passagierverkehr;17667;0;137
24.12.2019;Andere Kategorien;3;;9
24.12.2019;Fracht Cargo;0;;
25.12.2019;Passagierverkehr;14338;0;112
25.12.2019;Fracht Express;0;;
25.12.2019;Andere Kategorien;1;;6
25.12.2019;Fracht Cargo;0;115;4
26.12.2019;Passagierverkehr;23623;;179
26.12.2019;Andere Kategorien;6;;48
26.12.2019;Fracht Express;0;17;2
26.12.2019;Fracht Cargo;0;;
27.12.2019;Passagierverkehr;28124;0;206
27.12.2019;Fracht Express;0;83;11
27.12.2019;Fracht Cargo;0;15;2
27.12.2019;Andere Kategorien;3;;31
28.12.2019;Fracht Cargo;0;;
28.12.2019;Andere Kategorien;0;;9
28.12.2019;Passagierverkehr;21662;0;158
28.12.2019;Fracht Express;0;22;4
29.12.2019;Fracht Cargo;0;;
29.12.2019;Andere Kategorien;1;;38
29.12.2019;Passagierverkehr;26439;;191
29.12.2019;Fracht Express;0;;
30.12.2019;Passagierverkehr;25310;0;185
30.12.2019;Fracht Express;0;64;12
30.12.2019;Fracht Cargo;0;;
30.12.2019;Andere Kategorien;7;;85
31.12.2019;Fracht Express;0;49;9
31.12.2019;Fracht Cargo;0;;
31.12.2019;Passagierverkehr;19643;0;160
31.12.2019;Andere Kategorien;5;;81
01.01.2020;Fracht Cargo;0;;
01.01.2020;Passagierverkehr;21927;0;174
01.01.2020;Fracht Express;0;;
01.01.2020;Andere Kategorien;0;;9
02.01.2020;Fracht Cargo;0;;
02.01.2020;Andere Kategorien;11;;69
02.01.2020;Fracht Express;0;50;9
02.01.2020;Passagierverkehr;24957;1;195
03.01.2020;Passagierverkehr;27421;1;220
03.01.2020;Fracht Express;0;94;12
03.01.2020;Fracht Cargo;0;;
03.01.2020;Andere Kategorien;0;;73
04.01.2020;Fracht Express;0;24;4
04.01.2020;Fracht Cargo;0;;
04.01.2020;Andere Kategorien;11;;30
04.01.2020;Passagierverkehr;21958;0;175
05.01.2020;Fracht Express;0;;
05.01.2020;Passagierverkehr;25779;0;198
05.01.2020;Andere Kategorien;0;;49
05.01.2020;Fracht Cargo;0;;
06.01.2020;Andere Kategorien;2;;38
06.01.2020;Passagierverkehr;18455;1;168
06.01.2020;Fracht Express;0;114;11
06.01.2020;Fracht Cargo;0;4;1
07.01.2020;Fracht Cargo;0;;
07.01.2020;Passagierverkehr;12115;0;127
07.01.2020;Fracht Express;0;183;18
07.01.2020;Andere Kategorien;4;;14
08.01.2020;Andere Kategorien;5;;34
08.01.2020;Fracht Cargo;0;9;3
08.01.2020;Passagierverkehr;12727;;133
08.01.2020;Fracht Express;0;217;18
09.01.2020;Passagierverkehr;11853;0;131
09.01.2020;Andere Kategorien;0;;45
09.01.2020;Fracht Express;0;216;18
09.01.2020;Fracht Cargo;0;0;1
10.01.2020;Fracht Express;0;164;14
10.01.2020;Fracht Cargo;2;34;1
10.01.2020;Andere Kategorien;1;;64
10.01.2020;Passagierverkehr;19631;0;187
11.01.2020;Passagierverkehr;12626;0;122
11.01.2020;Fracht Express;0;45;4
11.01.2020;Fracht Cargo;0;81;4
11.01.2020;Andere Kategorien;3;;35
12.01.2020;Passagierverkehr;21197;0;188
12.01.2020;Fracht Express;0;;
12.01.2020;Fracht Cargo;0;16;2
12.01.2020;Andere Kategorien;6;;25
13.01.2020;Passagierverkehr;12832;0;133
13.01.2020;Fracht Cargo;0;56;2
13.01.2020;Andere Kategorien;1;;29
13.01.2020;Fracht Express;0;170;12
14.01.2020;Passagierverkehr;9730;0;114
14.01.2020;Fracht Cargo;0;;
14.01.2020;Fracht Express;0;206;20
14.01.2020;Andere Kategorien;4;;35
15.01.2020;Fracht Express;0;195;17
15.01.2020;Fracht Cargo;0;77;4
15.01.2020;Andere Kategorien;42;;85
15.01.2020;Passagierverkehr;10284;0;118
16.01.2020;Passagierverkehr;10646;;117
16.01.2020;Fracht Cargo;0;;
16.01.2020;Andere Kategorien;27;;63
16.01.2020;Fracht Express;0;205;17
17.01.2020;Passagierverkehr;20013;2;184
17.01.2020;Andere Kategorien;12;;44
17.01.2020;Fracht Cargo;0;39;2
17.01.2020;Fracht Express;0;165;14
18.01.2020;Passagierverkehr;12265;2;116
18.01.2020;Fracht Express;0;35;4
18.01.2020;Andere Kategorien;5;;34
18.01.2020;Fracht Cargo;0;100;4
19.01.2020;Passagierverkehr;21662;;189
19.01.2020;Fracht Express;0;;
19.01.2020;Fracht Cargo;0;15;2
19.01.2020;Andere Kategorien;15;;36
20.01.2020;Passagierverkehr;13164;0;136
20.01.2020;Andere Kategorien;17;;52
20.01.2020;Fracht Express;0;165;14
20.01.2020;Fracht Cargo;0;40;2
21.01.2020;Fracht Express;0;193;18
21.01.2020;Andere Kategorien;15;;65
21.01.2020;Passagierverkehr;9887;1;116
21.01.2020;Fracht Cargo;0;;
22.01.2020;Fracht Cargo;0;71;4
22.01.2020;Passagierverkehr;10603;1;111
22.01.2020;Fracht Express;0;209;18
22.01.2020;Andere Kategorien;8;;17
23.01.2020;Fracht Express;0;208;18
23.01.2020;Fracht Cargo;0;;
23.01.2020;Andere Kategorien;9;;39
23.01.2020;Passagierverkehr;11282;0;123
24.01.2020;Fracht Cargo;0;47;2
24.01.2020;Andere Kategorien;18;;79
24.01.2020;Passagierverkehr;20854;1;192
24.01.2020;Fracht Express;0;158;14
25.01.2020;Passagierverkehr;13498;1;134
25.01.2020;Fracht Cargo;0;63;4
25.01.2020;Fracht Express;0;31;4
25.01.2020;Andere Kategorien;6;;55
26.01.2020;Passagierverkehr;22348;0;178
26.01.2020;Fracht Express;0;;
26.01.2020;Andere Kategorien;7;;38
26.01.2020;Fracht Cargo;0;16;2
27.01.2020;Passagierverkehr;13771;0;134
27.01.2020;Fracht Express;0;150;12
27.01.2020;Andere Kategorien;6;;61
27.01.2020;Fracht Cargo;0;38;2
28.01.2020;Fracht Express;0;198;23
28.01.2020;Andere Kategorien;13;;12
28.01.2020;Passagierverkehr;10481;0;119
28.01.2020;Fracht Cargo;0;0;2
29.01.2020;Fracht Express;0;201;25
29.01.2020;Fracht Cargo;0;62;4
29.01.2020;Andere Kategorien;21;;23
29.01.2020;Passagierverkehr;10769;0;117
30.01.2020;Fracht Cargo;0;;
30.01.2020;Andere Kategorien;14;;30
30.01.2020;Passagierverkehr;11713;1;123
30.01.2020;Fracht Express;0;205;20
31.01.2020;Passagierverkehr;21691;1;188
31.01.2020;Fracht Express;0;154;14
31.01.2020;Fracht Cargo;0;70;2
31.01.2020;Andere Kategorien;24;;65
01.02.2020;Fracht Express;0;33;5
01.02.2020;Fracht Cargo;0;73;4
01.02.2020;Passagierverkehr;14203;1;127
01.02.2020;Andere Kategorien;0;;29
02.02.2020;Fracht Express;0;0;1
02.02.2020;Andere Kategorien;1;;31
02.02.2020;Passagierverkehr;22459;0;185
02.02.2020;Fracht Cargo;0;15;2
03.02.2020;Fracht Express;0;146;12
03.02.2020;Fracht Cargo;0;31;2
03.02.2020;Passagierverkehr;16375;2;157
03.02.2020;Andere Kategorien;0;;10
04.02.2020;Fracht Express;0;193;20
04.02.2020;Passagierverkehr;11981;0;129
04.02.2020;Fracht Cargo;0;;
04.02.2020;Andere Kategorien;13;;14
05.02.2020;Passagierverkehr;12575;0;129
05.02.2020;Fracht Cargo;0;95;4
05.02.2020;Fracht Express;0;195;20
05.02.2020;Andere Kategorien;15;;44
06.02.2020;Fracht Cargo;0;;
06.02.2020;Andere Kategorien;19;;47
06.02.2020;Passagierverkehr;14674;1;149
06.02.2020;Fracht Express;0;187;17
07.02.2020;Passagierverkehr;23152;1;193
07.02.2020;Fracht Express;0;166;16
07.02.2020;Andere Kategorien;2;;118
07.02.2020;Fracht Cargo;0;54;2
08.02.2020;Fracht Express;0;34;4
08.02.2020;Fracht Cargo;0;83;4
08.02.2020;Andere Kategorien;0;;60
08.02.2020;Passagierverkehr;17275;1;145
09.02.2020;Fracht Cargo;0;15;2
09.02.2020;Passagierverkehr;21073;0;168
09.02.2020;Andere Kategorien;3;;25
09.02.2020;Fracht Express;0;;
10.02.2020;Fracht Express;0;40;5
10.02.2020;Fracht Cargo;0;0;1
10.02.2020;Passagierverkehr;12808;0;117
10.02.2020;Andere Kategorien;7;;6
11.02.2020;Andere Kategorien;8;;13
11.02.2020;Passagierverkehr;14662;0;137
11.02.2020;Fracht Cargo;0;33;1
11.02.2020;Fracht Express;0;213;22
12.02.2020;Passagierverkehr;14789;1;146
12.02.2020;Fracht Express;0;215;18
12.02.2020;Fracht Cargo;0;81;4
12.02.2020;Andere Kategorien;4;;30
13.02.2020;Andere Kategorien;10;;66
13.02.2020;Passagierverkehr;17473;1;171
13.02.2020;Fracht Express;0;193;18
13.02.2020;Fracht Cargo;0;;
14.02.2020;Passagierverkehr;24946;1;216
14.02.2020;Fracht Cargo;0;49;2
14.02.2020;Fracht Express;0;155;14
14.02.2020;Andere Kategorien;18;;43
15.02.2020;Fracht Express;0;36;4
15.02.2020;Fracht Cargo;0;42;2
15.02.2020;Andere Kategorien;6;;61
15.02.2020;Passagierverkehr;19797;1;160
16.02.2020;Fracht Express;0;;
16.02.2020;Passagierverkehr;24468;0;199
16.02.2020;Fracht Cargo;0;22;2
16.02.2020;Andere Kategorien;8;;45
17.02.2020;Passagierverkehr;20990;2;178
17.02.2020;Fracht Cargo;0;78;4
17.02.2020;Fracht Express;0;140;12
17.02.2020;Andere Kategorien;8;;11
18.02.2020;Fracht Express;0;188;20
18.02.2020;Fracht Cargo;0;;
18.02.2020;Passagierverkehr;15031;0;150
18.02.2020;Andere Kategorien;53;;50
19.02.2020;Passagierverkehr;15673;0;155
19.02.2020;Fracht Express;0;203;18
19.02.2020;Fracht Cargo;0;53;5
19.02.2020;Andere Kategorien;7;;37
20.02.2020;Passagierverkehr;19032;1;175
20.02.2020;Fracht Cargo;0;0;1
20.02.2020;Fracht Express;0;215;18
20.02.2020;Andere Kategorien;20;;67
21.02.2020;Andere Kategorien;0;;64
21.02.2020;Passagierverkehr;25563;0;209
21.02.2020;Fracht Express;0;150;15
21.02.2020;Fracht Cargo;0;60;2
22.02.2020;Passagierverkehr;19917;1;163
22.02.2020;Fracht Express;0;35;4
22.02.2020;Fracht Cargo;0;78;5
22.02.2020;Andere Kategorien;4;;59
23.02.2020;Fracht Express;0;;
23.02.2020;Fracht Cargo;0;17;2
23.02.2020;Passagierverkehr;25270;0;196
23.02.2020;Andere Kategorien;3;;30
24.02.2020;Andere Kategorien;10;;55
24.02.2020;Passagierverkehr;21407;0;184
24.02.2020;Fracht Express;0;156;13
24.02.2020;Fracht Cargo;0;40;3
25.02.2020;Fracht Express;0;210;20
25.02.2020;Fracht Cargo;0;;
25.02.2020;Andere Kategorien;11;;17
25.02.2020;Passagierverkehr;15858;0;161
26.02.2020;Passagierverkehr;16803;0;163
26.02.2020;Fracht Cargo;0;76;6
26.02.2020;Fracht Express;0;207;20
26.02.2020;Andere Kategorien;11;;13
27.02.2020;Fracht Express;0;226;20
27.02.2020;Andere Kategorien;16;;11
27.02.2020;Passagierverkehr;15398;0;154
27.02.2020;Fracht Cargo;0;;
28.02.2020;Fracht Cargo;0;54;2
28.02.2020;Andere Kategorien;11;;80
28.02.2020;Fracht Express;0;163;15
28.02.2020;Passagierverkehr;25209;2;206
29.02.2020;Fracht Cargo;0;44;2
29.02.2020;Andere Kategorien;4;;16
29.02.2020;Passagierverkehr;18982;1;159
29.02.2020;Fracht Express;0;27;4
01.03.2020;Andere Kategorien;0;;12
01.03.2020;Passagierverkehr;22252;0;184
01.03.2020;Fracht Express;0;0;1
01.03.2020;Fracht Cargo;0;8;2
02.03.2020;Passagierverkehr;19425;0;186
02.03.2020;Fracht Express;0;157;12
02.03.2020;Fracht Cargo;0;39;2
02.03.2020;Andere Kategorien;2;;14
03.03.2020;Passagierverkehr;13561;1;156
03.03.2020;Fracht Cargo;0;;
03.03.2020;Fracht Express;0;189;20
03.03.2020;Andere Kategorien;12;;46
04.03.2020;Passagierverkehr;14652;1;162
04.03.2020;Fracht Express;0;192;19
04.03.2020;Fracht Cargo;0;66;4
04.03.2020;Andere Kategorien;6;;69
05.03.2020;Fracht Cargo;0;;
05.03.2020;Passagierverkehr;14921;0;165
05.03.2020;Fracht Express;0;191;23
05.03.2020;Andere Kategorien;6;;18
06.03.2020;Fracht Express;0;156;18
06.03.2020;Fracht Cargo;0;42;2
06.03.2020;Passagierverkehr;20932;1;207
06.03.2020;Andere Kategorien;1;;19
07.03.2020;Passagierverkehr;16272;2;154
07.03.2020;Fracht Express;0;40;5
07.03.2020;Fracht Cargo;0;87;4
07.03.2020;Andere Kategorien;0;;39
08.03.2020;Passagierverkehr;20483;;194
08.03.2020;Fracht Express;0;;
08.03.2020;Fracht Cargo;0;11;2
08.03.2020;Andere Kategorien;0;;76
09.03.2020;Fracht Cargo;0;48;3
09.03.2020;Fracht Express;0;161;13
09.03.2020;Passagierverkehr;15976;0;171
09.03.2020;Andere Kategorien;4;;30
10.03.2020;Passagierverkehr;11268;1;135
10.03.2020;Fracht Cargo;0;0;1
10.03.2020;Fracht Express;0;204;20
10.03.2020;Andere Kategorien;2;;5
11.03.2020;Fracht Express;0;211;20
11.03.2020;Fracht Cargo;0;66;4
11.03.2020;Andere Kategorien;9;;86
11.03.2020;Passagierverkehr;10970;;138
12.03.2020;Andere Kategorien;2;;19
12.03.2020;Fracht Cargo;0;;
12.03.2020;Passagierverkehr;10495;0;143
12.03.2020;Fracht Express;0;208;20
13.03.2020;Fracht Cargo;0;78;2
13.03.2020;Passagierverkehr;12970;0;178
13.03.2020;Fracht Express;0;152;17
13.03.2020;Andere Kategorien;0;;94
14.03.2020;Passagierverkehr;9051;2;125
14.03.2020;Fracht Cargo;0;91;4
14.03.2020;Andere Kategorien;2;;119
14.03.2020;Fracht Express;0;36;4
15.03.2020;Passagierverkehr;12530;0;174
15.03.2020;Fracht Express;0;;
15.03.2020;Andere Kategorien;8;;63
15.03.2020;Fracht Cargo;0;13;2
16.03.2020;Fracht Express;0;171;15
16.03.2020;Andere Kategorien;31;;23
16.03.2020;Fracht Cargo;0;0;1
16.03.2020;Passagierverkehr;7752;0;136
17.03.2020;Fracht Express;0;186;20
17.03.2020;Fracht Cargo;0;33;2
17.03.2020;Passagierverkehr;3197;0;77
17.03.2020;Andere Kategorien;3;;16
18.03.2020;Fracht Express;0;194;22
18.03.2020;Fracht Cargo;0;122;7
18.03.2020;Passagierverkehr;2234;;70
18.03.2020;Andere Kategorien;6;;9
19.03.2020;Passagierverkehr;1803;0;65
19.03.2020;Fracht Cargo;0;145;4
19.03.2020;Andere Kategorien;0;;3
19.03.2020;Fracht Express;0;186;22
20.03.2020;Fracht Cargo;0;;
20.03.2020;Andere Kategorien;0;;5
20.03.2020;Fracht Express;0;127;15
20.03.2020;Passagierverkehr;2036;;72
21.03.2020;Passagierverkehr;945;;23
21.03.2020;Fracht Cargo;0;107;6
21.03.2020;Fracht Express;0;40;5
21.03.2020;Andere Kategorien;6;;2
22.03.2020;Fracht Express;0;;
22.03.2020;Fracht Cargo;0;11;2
22.03.2020;Andere Kategorien;0;;3
22.03.2020;Passagierverkehr;940;;34
23.03.2020;Fracht Cargo;0;71;5
23.03.2020;Passagierverkehr;167;;11
23.03.2020;Andere Kategorien;0;;6
23.03.2020;Fracht Express;0;154;16
24.03.2020;Andere Kategorien;6;;9
24.03.2020;Passagierverkehr;330;0;27
24.03.2020;Fracht Express;0;165;20
24.03.2020;Fracht Cargo;0;75;3
25.03.2020;Passagierverkehr;215;;12
25.03.2020;Andere Kategorien;21;;9
25.03.2020;Fracht Express;0;173;22
25.03.2020;Fracht Cargo;0;228;6
26.03.2020;Fracht Express;0;190;20
26.03.2020;Passagierverkehr;150;;9
26.03.2020;Andere Kategorien;0;;7
26.03.2020;Fracht Cargo;0;66;4
27.03.2020;Andere Kategorien;6;;6
27.03.2020;Passagierverkehr;119;0;9
27.03.2020;Fracht Cargo;0;51;2
27.03.2020;Fracht Express;0;136;15
28.03.2020;Passagierverkehr;247;;15
28.03.2020;Fracht Express;0;30;4
28.03.2020;Fracht Cargo;0;176;6
28.03.2020;Andere Kategorien;2;;8
29.03.2020;Passagierverkehr;151;;5
29.03.2020;Andere Kategorien;1;;6
29.03.2020;Fracht Express;0;;
29.03.2020;Fracht Cargo;0;76;4
30.03.2020;Fracht Cargo;0;84;4
30.03.2020;Andere Kategorien;0;;3
30.03.2020;Passagierverkehr;362;;13
30.03.2020;Fracht Express;0;134;12
31.03.2020;Fracht Express;0;150;16
31.03.2020;Andere Kategorien;6;;5
31.03.2020;Passagierverkehr;162;0;16
31.03.2020;Fracht Cargo;0;106;5
01.04.2020;Fracht Express;0;142;16
01.04.2020;Fracht Cargo;0;57;5
01.04.2020;Andere Kategorien;0;;6
01.04.2020;Passagierverkehr;43;;17
02.04.2020;Passagierverkehr;92;;10
02.04.2020;Andere Kategorien;2;;9
02.04.2020;Fracht Express;0;161;16
02.04.2020;Fracht Cargo;0;139;6
03.04.2020;Passagierverkehr;55;;12
03.04.2020;Andere Kategorien;0;;3
03.04.2020;Fracht Express;0;120;12
03.04.2020;Fracht Cargo;0;55;2
04.04.2020;Fracht Express;0;28;4
04.04.2020;Fracht Cargo;0;62;4
04.04.2020;Passagierverkehr;381;;5
04.04.2020;Andere Kategorien;3;;5
05.04.2020;Fracht Cargo;0;90;3
05.04.2020;Andere Kategorien;0;;4
05.04.2020;Fracht Express;0;;
05.04.2020;Passagierverkehr;2;;8
06.04.2020;Andere Kategorien;2;;6
06.04.2020;Passagierverkehr;35;;9
06.04.2020;Fracht Express;0;142;12
06.04.2020;Fracht Cargo;0;104;4
07.04.2020;Passagierverkehr;16;;10
07.04.2020;Fracht Express;0;104;16
07.04.2020;Fracht Cargo;0;68;2
07.04.2020;Andere Kategorien;8;;10
08.04.2020;Passagierverkehr;45;;8
08.04.2020;Fracht Express;0;176;18
08.04.2020;Andere Kategorien;3;;3
08.04.2020;Fracht Cargo;0;83;6
09.04.2020;Fracht Express;0;151;15
09.04.2020;Andere Kategorien;2;;11
09.04.2020;Passagierverkehr;0;;8
09.04.2020;Fracht Cargo;0;178;7
10.04.2020;Passagierverkehr;36;0;10
10.04.2020;Fracht Express;0;67;3
10.04.2020;Fracht Cargo;0;34;2
10.04.2020;Andere Kategorien;0;;3
11.04.2020;Fracht Express;0;28;4
11.04.2020;Fracht Cargo;0;92;6
11.04.2020;Passagierverkehr;3;;8
11.04.2020;Andere Kategorien;0;;6
12.04.2020;Andere Kategorien;19;0;10
12.04.2020;Passagierverkehr;0;;7
12.04.2020;Fracht Express;0;;
12.04.2020;Fracht Cargo;0;67;2
13.04.2020;Fracht Cargo;0;57;2
13.04.2020;Passagierverkehr;38;;7
13.04.2020;Fracht Express;0;8;1
13.04.2020;Andere Kategorien;0;;1
14.04.2020;Fracht Express;0;155;19
14.04.2020;Fracht Cargo;0;7;2
14.04.2020;Andere Kategorien;1;;9
14.04.2020;Passagierverkehr;5;;13
15.04.2020;Andere Kategorien;0;;12
15.04.2020;Passagierverkehr;23;;12
15.04.2020;Fracht Express;0;159;18
15.04.2020;Fracht Cargo;0;;
16.04.2020;Passagierverkehr;0;;4
16.04.2020;Andere Kategorien;0;;30
16.04.2020;Fracht Express;0;154;18
16.04.2020;Fracht Cargo;0;244;6
17.04.2020;Passagierverkehr;38;0;12
17.04.2020;Fracht Express;0;135;14
17.04.2020;Fracht Cargo;0;70;2
17.04.2020;Andere Kategorien;9;;28
18.04.2020;Passagierverkehr;0;;6
18.04.2020;Fracht Cargo;0;75;6
18.04.2020;Fracht Express;0;45;4
18.04.2020;Andere Kategorien;4;;3
19.04.2020;Fracht Cargo;0;54;2
19.04.2020;Andere Kategorien;0;;3
19.04.2020;Fracht Express;0;0;1
19.04.2020;Passagierverkehr;0;;8
20.04.2020;Fracht Cargo;0;127;4
20.04.2020;Fracht Express;0;153;15
20.04.2020;Passagierverkehr;52;;16
20.04.2020;Andere Kategorien;0;;10
21.04.2020;Fracht Express;0;164;18
21.04.2020;Andere Kategorien;0;;10
21.04.2020;Passagierverkehr;14;1;10
21.04.2020;Fracht Cargo;0;120;2
22.04.2020;Fracht Cargo;0;63;6
22.04.2020;Passagierverkehr;3;;11
22.04.2020;Andere Kategorien;13;;21
22.04.2020;Fracht Express;0;172;18
23.04.2020;Passagierverkehr;18;0;12
23.04.2020;Andere Kategorien;5;;12
23.04.2020;Fracht Express;0;166;18
23.04.2020;Fracht Cargo;0;4;2
24.04.2020;Andere Kategorien;9;;17
